11 Oph b,Confirmed,21,3,3,,,,,,,730000,365000,365000,243,55,55,,,,,,,1.675862,2007,18/06/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145,20,20,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375,175,175,,,"Oph 11A, Oph 1622-2405"
1RXS 1609 b,Confirmed,14,3,2,,,,1.7,,,,,,330,0,0,,,,,,,2.275862,2008,05/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,20,20,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060,200,200,,,
2M 0103-55 (AB) b,Confirmed,13,1,1,,,,,,,,,,84,,,,,,,,,,2013,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0122-24 b,Confirmed,20,7,7,,,,1,0.2,0.2,,,,52,6,6,,,,,,,,2013,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36,4,4,,,,0.4,0.05,0.05,,,,M3.5,0.12,0.01,0.01,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15,0.6,0.6,,,,,,,0.107143,2010,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M 0746+20 b,Confirmed,30,25,25,,,,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,20/01/2012,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.12,0.09,0.09,0.089,0.003,0.003,,,,,2205,50,50,,,
2M 1207-39 b,Confirmed,4,1,1,,,,,,,,,,46,5,5,,,,,,,0.877863,2004,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13,,,52.4,1.1,1.1,,,,0.025,,,,,,M8,0.008,0.003,0.003,,,,,,
2M 2140+16 b,Confirmed,20,20,80,,,,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,20/01/2012,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25,10,10,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300,80,80,,,
2M 2206-20 b,Confirmed,30,20,70,,,,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,20/01/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350,80,80,,,
2M 2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230,20,20,,,,,,,3.7,2016,03/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",2M 2236+4751,339.1041667,47.86194447,12.5,,,,,63,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900,,,,,,,,,,2016,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.3666667,-81.64111113,9,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
2MASS J1450-7841 A,Confirmed,40,,,,,,,,,,,,300,,,,,,,,,,2017,17/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.6708333,-78.69388891,,,,,,75,25,25,,,,0.04,,,,,,M9p,,,,,,,,,
2MASS J1450-7841 B,Confirmed,40,,,,,,,,,,,,300,,,,,,,,,,2017,17/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675,-78.69472225,,,,,,75,,,,,,0.04,,,,,,M8p,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30,4,11,,,,,,,,,,518,40,40,,,,,,,,2017,26/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.5625,23.42611113,,,,,,41.5,10,10,,,,,,,,,,M3,0.15,,,,,,,,
51 Eri b,Confirmed,9.1,3.3,4.9,,,,1.11,0.13,0.16,14965,4380,12775,14,3,7,0.21,0.15,0.15,138,13,15,,2015,13/04/2017,90,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,,,,,,,275,,,,,,,,,5.813953,2005,06/12/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,-0.64,,,,,,,,,K2 V,0.03,,,4875,,,,,
CD-35 2722 b,Confirmed,31,8,8,,,,,,,,,,67,4,4,,,,,,,3.14554,2011,23/02/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.33004292,-35.82533225,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680,100,100,,,
CFBDS 1458 b,Confirmed,10.5,4.5,4.5,,,,,,,14227,8600,8600,2.6,0.3,0.3,,,,,,,0.112554,2011,10/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,31.9,2.4,2.8,,,,0.024,0.016,0.016,,,,T9.5,3,2,2,560,100,100,,,
CHXR 73 b,Confirmed,12,5,8,,,,,,,,,,200,,,,,,,,,,2006,25/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0,0,,,,M3.25,0.002,,,,,,,,
CT Cha b,Confirmed,17,6,6,,,,2.2,0.6,0.6,,,,440,,,,,,,,,2.666667,2008,24/09/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165,30,30,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
DE0823-49 b,Confirmed,31.5,13,13,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,01/06/2015,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,DE0823-49,125.7625,-48.79972222,,,,,,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,,0.1,0.02,0.5,2150,100,100,,,
DH Tau b,Confirmed,11,0.003,0.01,,,,,,,,,,330,,,,,,,,,,2005,08/03/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,DH Tau,67.425,26.5494444,13.71,,,,,,,,,,,0.37,0.12,0.12,,,,M0.5V,0.001,0.0009,0.0009,,,,,,
FU Tau b,Confirmed,15,,,,,,,,,,,,800,,,,,,,,,5.714286,2009,19/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140,,,,,,0.05,,,,,,M7.25,0.001,,,2838,,,,,
FW Tau b,Confirmed,10,4,4,,,,,,,,,,330,30,30,,,,,,,,2013,02/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FW Tau,67.37500001,26.28138891,15.5,,,,,145,15,15,,,,0.26,0.18,0.18,,,,M4,0.0018,0.001,0.0005,3270,70,70,,,
Fomalhaut b,Confirmed,3,3,0,,,,,,,320000,,,115,,,0.11,0,0,,,,14.92731,2008,22/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,A3 V,0.44,0.04,0.04,8590,73,73,Imaging,,HD 216956
GJ 504 b,Confirmed,4,1,4.5,,,,0.96,0.07,0.07,,,,43.5,,,,,,,,,,2013,01/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,3.9,Published in a refereed paper,Imaging,Spectrum,Flux,59 Vir b,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.08,0.08,0.28,0.03,0.03,1.22,0.08,0.08,,,,GOV,0.16,0.35,0.06,6234,25,25,,,"e Virginis, HR 5011, 59 Virginis"
GJ 570 D,Confirmed,42.5,4.5,4.5,,,,0.855,0.023,0.023,,,,1500,,,,,,,,,,2000,13/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,10,10,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,HR 5568 D,NH3,GJ 570 ABC,224.3666667,-21.4152778,5.64,,,,,5.91,0.06,0.06,0.06,,,0.802,0.04,0.04,,,,K4/M1/M3,,,,4758,,,,,HR 5568 ABC
GJ 758 b,Confirmed,45,5,5,,,,,,,109000,62000,198000,44.8,14.1,44.4,0.564,0.148,0.148,43.6,17.4,13.1,3.516129,2009,06/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,5,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425,,,,,"Gliese 758, HR 7368, HD 182488"
GQ Lup b,Confirmed,21.5,20.5,20.5,,,,1.8,,,,,,103,37,37,,,,,,,0.735714,2005,06/12/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140,50,50,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
GSC 6214-210 b,Confirmed,17,3,3,,,,,,,,,,320,0,0,,,,,,,2.206897,2010,31/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145,14,14,,,,0.6,,,,,,M1,0.011,0.002,0.002,,,,,,
GU Psc b,Confirmed,11,1,1,,,,1.35,0.03,0.03,,,,2000,200,200,,,,,,,,2014,31/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.14583335,17.06555557,13.55,,,,,48,5,5,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 b,Confirmed,11,2,2,,,,,,,,,,654,3,3,,,,,,,,2013,05/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 106906,184.4708334,-54.02444442,7.8,,,,,92,6,6,,,,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6516,165,165,Imaging,,
HD 1160 b,Confirmed,79,40,65,,,,,,,,,,80,0,0,,,,,,,0.772947,2012,22/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4,4,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 169142 b,Confirmed,30,2,2,,,,,,,,,,22.7,4.7,4.7,,,,,,,,2014,22/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD169142,276.1241042,-29.78050808,8.16,,7.31,,,117,,,,,,1.65,,,1.6,,,A7V,12,,,7650,150,150,Imaging,,
HD 19467 b,Confirmed,52,4.3,4.3,,,,,,,,,,51.1,1,1,,,,,,,,2016,08/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.82916667,-13.76166669,7,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680,40,40,,,
HD 203030 b,Confirmed,11,4,4,,,,,,,,,,487,,,,,,,,,,2017,02/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 203030,319.7416667,26.2305556,8.43,,,,,41,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 206893 b,Confirmed,22.5,8,8,,,,,,,,,,10,,,,,,,,,,2016,05/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 206893,326.3416667,-12.78333335,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1,1,6486,,,,,
HD 284149 b,Confirmed,32,18,14,,,,,,,,,,400,,,,,,,,,,2014,31/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.66250001,20.30305556,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.01,6040,60,60,,,
HD 95086 b,Confirmed,4.4,0.8,0.8,,,,,,,,,,61.7,8.4,20.7,0.2,0.2,0,153,13.5,9.7,,2013,22/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,3.85,Published in a refereed paper,Imaging,Spectrum,,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,3.3,3.3,,,,1.6,,,,,,A8III,0.017,0.004,0.004,7550,100,100,Imaging,,
